nº;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;;;
41;annoncer;°t°ú°n°d°Á;;;túd;;túnò;;;;túnô;;;;
42;anomalure;;;;gù;;nkù;;;;nkǔ;;;°ɡ°u°i;
43;appel;°ɟ°V́°b°l°V̀;ɡvwúā;gyíbâ;nɟól;;nɟɩ́blɩ́;ɟúúlú;;;ɟɩ́blɩ́;;;;
44;appeler;°ɟ°V́°b°à;ɡvwúə̄;gyíbɔ;ɟóò;ɟáb;ɟébè;ɟôw;;ɡiɔ;ɟjêb;ɟɥâ;;;
45;apprendre;°ɟ°é°K°Ì;ɡíɡì;gyíkɛ;ɟêk;ɟîɡ;ɟɩ̂ʔ;ɟíɡə̀lì;ɟēɡì;ɡiɡ;ɟwɩ̂ʔ;;;;
46;approcher;°s°í°s°à°l°À;;sḭ́ḭ̀;;sîlɔ̀;sîhlè;sə̀sàl;;;síhlô;;;;
47;arachide;°w°ò°n°d°ò;wòndù;wùndɛ̀;wòndò;wùnd;wʊ̀nʊ̀;wùnd;;wundɛ;wʊ̀nʊ̀;;;;
48;araignée;°b°ù°b°V;bòʔó;;náàbùbɛ́lɛ̀;bùb;bʊ́bʊ̀ʊ́;bwìjə̀;;ndʰɛnbur;bʊ́bʊ̀ʊ́;tàndíbùbùrá;;;
49;arbalète;;pàn;;b̥àn;;mpàn;mpààn;mpànɔ̀;mbʰandi;;;*b*à*n*ò;;
50;arbre;°l°é;lí;lé;lé;lé;lí;lé;lē;lí;lɩ́;lí;;;
51;arbre moabi;°ɟ°ɔ̀°V̀;ɟùɔ̀;;ɟɔ̀w;;ɟɔ̀ɔ̀;ɟù;;;ɟɔ̀ɔ̀;;;;
52;arbre sp 1;°d°ù°m°b°à;;;dúm;úmɔ́;úmó;;dùbɔ̀;;;;;;
53;arbre sp 2;°s°ɔ́°m°b°Ó;;;;;sɔ́m;sómbú;;;swɔ́m;;;;
54;arc;°ɡ°à°l°á;ɡálì;;ɡɛ̀lɛ́;;ɡàlá;;;;ɡàlá;;;;
55;arc-en-ciel;;dvúndvùmbə̄;;d̥ìwà;;;ɟùmbú;;;tìbà;;;;
56;argent 1 (emprunt anɡlais);;mwòné;mɔ̀nɛ́;;;mɔ̀nɩ́;;mjéná;mɔ̂n;mɔ̀nɩ́;;;;
57;argent 2;°ɟ°a°ŋ°a;;;mjàŋà;;;ɟánà;;;;mjáŋá;;;
58;argile 1;°ɟ°ɛ̀°K°á;déʔə̄;;;jàɡ;;jàɡə́;wjɛ̀ɡɔ̄;;;;*j*ɩ̀*ɡ*á;;
59;argile 2;°k°ò°n°a;;;kwòn;;;;;kuna;kwon;;;;
60;arracher 1;°d°á°K°Ì;;;dɛ̂k;;dɛ̂ʔ;dɛ́ɛ́ɡ;ɗāɡī;;;;;;
61;arracher 2;°t°ê;té;tɛ̀ndɔ;;;tɩ̂;tî;tê;;tɩ̂;;;;
62;arranger;°k°ɔ̀°m°b°à°l°à;kùmbə̀lə̀;kùmbɔ;kòbàl;kwòmbèlá;kòmlò;;;kumbɔ;kwòmlò;kúmbə̀;;;
63;arriver;°k°ù°m°à;;;kùm;kùmà;kùmò;;;;kùmò;;;;
64;articulation;°b°ɔ̀°ŋ;mbwàŋ;;;bwàŋ;bʊ̀á;;;;bùó;;;;
65;assiette;°s°Ú°w°á;ʃówà;;súwá;ʃúwá;sʊ́á;ʃúwá;;;;;;;
66;assis;°d°i°l°I;dzìlə̀;jì;ndíndìl;ndíl;ndîndǐl;nɟínɟìlî;dídílì;;ndîndǐl;dzìndzíndzílì;*d*ì*a*d;;
67;asticot;°l°ú°m°á;lúmà;lvúmɔ́;lúm;lúmɔ́;lúmó;;;vuma;lúmó;;;;
68;attacher 1;°k°â°K;;káKà;;kâɡ;kâʔ;;;kaˤ;kâʔ;;;;
69;attacher 2;°t°ì°ŋ°à°l°à;tsə̀ŋɡə̀lə̀;tsḭ́ɛlɛ;tìŋàl;;;;tīɔ̀ŋ;tsaŋlɛ;;tsóŋlà;;;
70;attendre;°b°ó°n°d°à;búndə̀;bwɛ̰́ɛ̰̀lɛ;bwôd;bwáánd;bónò;bwánd;ɓōndɔ̀;;bwôn;búndá;;;
71;attraper;°ɟ°à;ɟà;;;;ɟà;ɟà;;ɥaˤ;ɟà;;;;
72;au milieu;°t°é°m°à;tétémà;títímɔ́;;tám;témé;tâm;;tima;tjém;tímà;;;
73;aujourd'hui;°ú°s°ì;móò;;mwûs;mùùz;mûh;;;;mûh;mwì;;;
74;aulacode;;;;ʒɛ́g̥wób;;pánkómó;;;;pánkwóm;;*ɡ*ʊ̀*m*b*á;;
75;autre;°s°í°s;;fúsì;;sís;swîh;;;;swîh;;;;
76;aval;°c°ì°V̀;;kɛ̀;cɛ̀;;cìè;;cīɛ̀;;cìò;;;;
77;avaler;°m°ì°n°à;mìnə̀;mìnò;mìn;mìnɔ̀;mìnè;mìnə̀;mìnɔ̀;mina;mìnò;mínə̀;;;
78;avec;°n°à;nə̀;nà;nɛ̀;nò;;;nɛ̀;na;nè;;;;
79;aveugle;;dzímdzîm;jímí;;tîtìm;ántím;àncímncîm;ntīmī;dzi;àntím;;;;
80;avocat;°p°í°j°à;píyə̀;péè;;fíjò;pjɔ́ɔ̀;fjâ;;pii;fjɔ́ɔ̀;;;;
81;bagarre;°t°Ú°m°b°à;və̀mbà;lvúmâ;tûb;ntwòmb;tɔ̀m;cwòmb;tùmbɔ̀;;tòm;;;*t*ù*m*b*à;
82;bague;°l°Ò°n°d°á;;lɔ̀ndɔ́;;;lɔ̀ná;lwòndó;;lɔndɔ;loná;;;;
83;bailler;°m°á°m°a;;nyɔ́nyɔ̰̂;mámâ;mə̀mâ;;mə́mà;;;;;;;
84;baisser;°s°ɛ̀°l°Ì;ʃùlì;;;;sùl;sə̀l;ʃɛ̀lì;silsi;;;;;
85;balafon;;ŋɟâŋ;;ɟ̥áŋál;ncáŋ;nɟáŋ;ncáɲ;;ndzaŋ;;;;;
86;balai;°k°w°á°n°ɟ°V̀;kyáŋɡì;;kɥɛ̂z;cɔ̂nɟ;kpɛ̂h;cónz;kwānɟī;;kwɛ̂h;;;;
87;balayer;°ɡ°w°á°m°b°à°l°à;wámbə̀lə̀;wómbɛlɛ;wábàl;wâmbə̀lɔ̀;ɡwámlè;wáámbə̀lə̀;;wamlɛ;ɡwámlô;wámbàlà;*k*ó*m*b*ʊ*d;;
88;bambou;°ɟ°ɛ̀°ŋ°á;mbàŋɟə̀;mpàndyè;;nɟìɲɛ́;nɟɩ̀á;ɟɛ̀ɛ́;nɟɛ̌ŋ;;;;;;
89;bambou, flèche;°b°à°n°ɟ°á;mbàŋɟə̀;mpànyè;bàzáb̥àn;mpànɟ;bàh;;ɓànɟɔ̀;bʰɔa;bàhà;;*b*à*n*j*ɩ́;;
90;banane douce;°t°ɔ̀°T°à;;njù;tɔ̀tò;;tɔ̀rà;;;;;tòrà;;;
91;banane plantain;°k°ɔ̀°n°d°V̀;kwàndə̀;kwàndɔ̀;kɔ̀d;kwànd;;;kɔ̀ndɔ̀;;kwɔ̀n;kwàndə̀;;;
92;banc (emprunt français);;;;;;bâŋ;bwànɡə́lə́;;bɛnɡi;;;;;
93;bander;°ɟ°ɛ̀°l;ɟàlè;;ɟɛ̀l;;ɟjɛ̀l;;;;ɟɛ̀l;;;;
94;barbe;;zə̀lə̀;zɛ̀lɛ̀;zèl;ncə̀l;nzjèl;;ncɛ̀lì;ndzɛl;;ʃə́lì;;;
95;barrage;°m°ɛ́°K;myə̀ʔə́;mwɛ́;mjá;mjɛ́ɡ;mjɛ́ʔ;;;;;;;;
96;barrer;°l°à;là;;là;;là;là;là;;;;;;
97;bâton;°ɡ°a°s°E;kásè;;;;nɡáhá;ɡásə́;kwàɛ̀;;kás;;;;
98;bâton de manioc;°b°ɔ̀°l°à;bwā;;;;;bùbwòlè;;;bwôl;bwàlà;;;
99;battre;°d°à°K;;;dà;;dàʔ;àɡə̀lə́;;;;;;;
100;beaucoup 1;°b°ù;və̀lə́;;bù;bù;bù;bùljà;bùbùlìà;;;;;;
101;beaucoup 2;°b°ù°Ò;vùvù;bvúbvù;bwòpí;bùbù;bùòbùò;;bùɔ̀;bvubvu;bùòbùò;;;;
102;bébé;°k°é°ŋ;kɛ́ɛ̄y;wánɔ̀;;kéŋ;cjéé;kéɲ;;;kéé;;;;
103;belle-famille;°c°í°ŋ;tsī;tsì;cí;cì;cìŋ;cìí;cǐ;tsi;cǐ;;;;
104;belle-soeur;°ɟ°à°l;ɲàlà;;nɟɛ̀l;;nɟjɛ̀l;ɲɛ̀l;;ɲal;nɟɛ̀l;;;;
105;bile;°c°u°ŋ;ŋɡūū;;;cɔ́ŋ;;;ncùùŋ;nzuŋ;;;;;
106;blanc 1;°p°ú°m°V́;fùmə̀;pùlɛ́;nápúú;;púmó;fùmə̀;pùmàā;;púmó;kfúmí;;;
107;blanc 2;;;;b̥a;;mpáŋà;;;;mpáŋá;;;;
108;Blanc, européen;°t°á°n°ɡ°á;tāŋ;tàngànɛ̀;táɡá;táŋ;ntáŋá;táŋ;;ntanɡan;;;;;
109;blesser;°b°ɛ́°b°à°l°A;báàlì;báwɛ;bɛ̂w;;bɛ́blè;bɛ̂w;;;báblô;;;;
110;boire;°ɲ°ɔ̀°à°l°Ì;ɲòlì;nyùlɛ;;ɲwɛ̀l;ɲùl;nɡùl;;ɲul;ɲû;nwélì;;;
111;bois de chauffage;°ɟ°ó°T°à;ɟáà;yí;ɡótà;;ɟɔ́rà;;ɡwōrā;;ɟɔ́rà;;;;
113;boîte;°ɡ°ó°n°ɡ°à;ɡúŋɡà;;;nɡúnɡà;nɡʊ́ŋ;nɡúnɡà;;nɡunɡu;nɡʊ́ŋà;;;;
